dataset,tolerance,refinement,elements,dofs,smoother,damping,airy_damping,steps,iterations,residual,converged,setup_s,solve_s
two_sweeps,1e-8,4,256,2400,macro-vertex,0.33,0,2,21,3.68830555e-09,1,0.001448473,0.0176973
two_sweeps,1e-8,4,256,2400,split-patches,0.33,0,2,583,8.98522901e-09,1,0.000329059,0.28675548
two_sweeps,1e-8,4,256,2400,split,0.33,0.05,2,92,9.38378732e-09,1,0.016109344,0.06337497
two_sweeps,1e-8,5,1024,9408,macro,0.33,0,2,21,9.76385186e-09,1,0.009887097,0.077457975
two_sweeps,1e-8,5,1024,9408,macro-vertex,0.33,0,2,21,9.77113658e-09,1,0.009356851,0.090056109
two_sweeps,1e-8,5,1024,9408,split-patches,0.33,0,2,2000,2.0677182e-08,0,0.001453453,4.21050564
two_sweeps,1e-8,5,1024,9408,split,0.33,0.05,2,103,8.36864374e-09,1,0.069859471,0.310342121
triangle_deeper,1e-8,0,1,15,split,0.33,0.05,1,1,7.81566732e-14,1,6.502e-06,1.7203e-05
triangle_deeper,1e-8,1,4,48,split,0.33,0.05,1,37,2.29470967e-09,1,0.000251734,0.00026057
triangle_deeper,1e-8,2,16,168,split,0.33,0.05,1,83,9.49966249e-09,1,0.000998808,0.002128151
triangle_deeper,1e-8,3,64,624,split,0.33,0.05,1,110,9.11331999e-09,1,0.003934547,0.011180378
triangle_deeper,1e-8,4,256,2400,split,0.33,0.05,1,134,8.39757562e-09,1,0.016179116,0.051695934
triangle_deeper,1e-8,5,1024,9408,split,0.33,0.05,1,152,9.48856116e-09,1,0.066013761,0.258093438
triangle_deeper,1e-8,6,4096,37248,split,0.33,0.05,1,2000,5.68273084e-08,0,0.289805904,18.1601943
macro_deeper,1e-8,0,1,15,macro,0.33,0,1,1,7.81566732e-14,1,6.432e-06,1.5199e-05
macro_deeper,1e-8,1,4,48,macro,0.33,0,1,13,4.59145121e-09,1,3.156e-05,9.7914e-05
macro_deeper,1e-8,2,16,168,macro,0.33,0,1,20,6.21216118e-09,1,8.1723e-05,0.000546407
macro_deeper,1e-8,3,64,624,macro,0.33,0,1,27,6.79670312e-09,1,0.000415771,0.002791978
macro_deeper,1e-8,4,256,2400,macro,0.33,0,1,32,6.47418221e-09,1,0.001550706,0.012491373
macro_deeper,1e-8,5,1024,9408,macro,0.33,0,1,34,9.33627852e-09,1,0.007629963,0.076099351
macro_deeper,1e-8,6,4096,37248,macro,0.33,0,1,2000,6.49167705e+21,0,0.040286846,23.5888415
triangle_relaxed,1e-7,0,1,15,split,0.33,0.05,1,1,7.81566732e-14,1,7.594e-06,1.3415e-05
triangle_relaxed,1e-7,1,4,48,split,0.33,0.05,1,37,2.29470967e-09,1,0.000246033,0.000263846
triangle_relaxed,1e-7,2,16,168,split,0.33,0.05,1,74,8.96584638e-08,1,0.000977167,0.001915701
triangle_relaxed,1e-7,3,64,624,split,0.33,0.05,1,100,8.90605247e-08,1,0.004048672,0.010286327
triangle_relaxed,1e-7,4,256,2400,split,0.33,0.05,1,121,9.41560983e-08,1,0.016532159,0.048416489
triangle_relaxed,1e-7,5,1024,9408,split,0.33,0.05,1,138,8.40488255e-08,1,0.068880831,0.242422928
triangle_relaxed,1e-7,6,4096,37248,split,0.33,0.05,1,153,9.97364629e-08,1,0.292332494,1.31894467
